TRTID10,state,county,tract,cbsa10,POP70SP1,INCPC70
34003037202,NJ,Bergen County,Census Tract 372.02,35620,8056.803114,5228.238
34003038100,NJ,Bergen County,Census Tract 381,35620,6484.000035,4996.343
34003038200,NJ,Bergen County,Census Tract 382,35620,4565.000026,4912.056
34003038300,NJ,Bergen County,Census Tract 383,35620,7330.999966,4981.593
34003039100,NJ,Bergen County,Census Tract 391,35620,7708.254921,6052.25
34003039200,NJ,Bergen County,Census Tract 392,35620,2999.421668,6052.25
34003039300,NJ,Bergen County,Census Tract 393,35620,3730.323881,6052.25
34003040001,NJ,Bergen County,Census Tract 400.01,35620,3608.5506,7664.222
34003040002,NJ,Bergen County,Census Tract 400.02,35620,4573.474399,7664.222
34003041100,NJ,Bergen County,Census Tract 411,35620,3784.000018,4936.358
34003041200,NJ,Bergen County,Census Tract 412,35620,3061.000023,4816.955
34003041301,NJ,Bergen County,Census Tract 413.01,35620,3657.802754,4889.305
34003041302,NJ,Bergen County,Census Tract 413.02,35620,3045.762512,4889.305
34003042100,NJ,Bergen County,Census Tract 421,35620,9521.287871,5700.848
34003042301,NJ,Bergen County,Census Tract 423.01,35620,3680.455656,5860.873
34003042302,NJ,Bergen County,Census Tract 423.02,35620,6736.63565,5457.833
34003042400,NJ,Bergen County,Census Tract 424,35620,6316.462729,6029.575
34003042500,NJ,Bergen County,Census Tract 425,35620,3588.832393,5790.75
34003043001,NJ,Bergen County,Census Tract 430.01,35620,4429.40526,6375.266
34003043002,NJ,Bergen County,Census Tract 430.02,35620,3923.12384,6384.974
34003044100,NJ,Bergen County,Census Tract 441,35620,5792.831809,6553.364
34003044201,NJ,Bergen County,Census Tract 442.01,35620,2526.577542,6555.546
34003044202,NJ,Bergen County,Census Tract 442.02,35620,3515.987605,6553.514
34003045100,NJ,Bergen County,Census Tract 451,35620,7466.995757,5078.967
34003045200,NJ,Bergen County,Census Tract 452,35620,3123.434705,5533.638
34003046100,NJ,Bergen County,Census Tract 461,35620,5106.000034,5393.433
34003046200,NJ,Bergen County,Census Tract 462,35620,4931.373369,4800.496
34003046300,NJ,Bergen County,Census Tract 463,35620,5015.972998,5026.194
34003047100,NJ,Bergen County,Census Tract 471,35620,6310.90979,7379.616
34003047200,NJ,Bergen County,Census Tract 472,35620,4329.712357,14092.71
34003047300,NJ,Bergen County,Census Tract 473,35620,3394.667715,12427.05
34003047400,NJ,Bergen County,Census Tract 474,35620,5144.897854,6950.389
34003047500,NJ,Bergen County,Census Tract 475,35620,7965.000024,6559.487
34003048100,NJ,Bergen County,Census Tract 481,35620,4928.806525,6076.994
34003048200,NJ,Bergen County,Census Tract 482,35620,8514.683588,6076.879
34003049001,NJ,Bergen County,Census Tract 490.01,35620,5138.188524,7126.683
34003049002,NJ,Bergen County,Census Tract 490.02,35620,3933.821648,7135.565
34003050000,NJ,Bergen County,Census Tract 500,35620,6297.314187,5308.249
34003051100,NJ,Bergen County,Census Tract 511,35620,6612.999979,5605.134
34003051200,NJ,Bergen County,Census Tract 512,35620,3355.999987,5502.738
34003051300,NJ,Bergen County,Census Tract 513,35620,5944.000036,4757.544
34003051400,NJ,Bergen County,Census Tract 514,35620,5605.999972,5732.022
34003052100,NJ,Bergen County,Census Tract 521,35620,8635.953964,4979.997
34003052200,NJ,Bergen County,Census Tract 522,35620,6205.731873,5264.881
34003053100,NJ,Bergen County,Census Tract 531,35620,4676.692094,9299.254
34003053200,NJ,Bergen County,Census Tract 532,35620,4963.888625,9304.241
34003054100,NJ,Bergen County,Census Tract 541,35620,8342.845923,6322.73
34003054200,NJ,Bergen County,Census Tract 542,35620,5284.936624,5466.141
34003054300,NJ,Bergen County,Census Tract 543,35620,7156.821085,9988.266
34003054400,NJ,Bergen County,Census Tract 544,35620,7523.00001,5535.975
34003054500,NJ,Bergen County,Census Tract 545,35620,5812.000012,7083.993
34003054600,NJ,Bergen County,Census Tract 546,35620,7942.999939,5512.836
34003055100,NJ,Bergen County,Census Tract 551,35620,6690.183541,11123.75
34003055200,NJ,Bergen County,Census Tract 552,35620,8024.261769,7014.752
34003056100,NJ,Bergen County,Census Tract 561,35620,4060.619237,5596.717
