tractid,tracta,countya,statea,pop19,incpc19
36081018200,Census Tract 182, Queens County, New York,2499,22552
36081018600,Census Tract 186, Queens County, New York,1869,26780
36081020800,Census Tract 208, Queens County, New York,3136,27764
36081023600,Census Tract 236, Queens County, New York,3143,22743
36081024900,Census Tract 249, Queens County, New York,4838,28304
36081025800,Census Tract 258, Queens County, New York,2261,20285
36081026400,Census Tract 264, Queens County, New York,2501,21616
36081026700,Census Tract 267, Queens County, New York,5353,27802
36081027200,Census Tract 272, Queens County, New York,1970,25499
36081027400,Census Tract 274, Queens County, New York,1718,26897
36081027700,Census Tract 277, Queens County, New York,7747,27437
36081033000,Census Tract 330, Queens County, New York,7192,27557
36081035100,Census Tract 351, Queens County, New York,3737,29690
36081035800,Census Tract 358, Queens County, New York,4179,35325
36081036600,Census Tract 366, Queens County, New York,2731,30656
36081037300,Census Tract 373, Queens County, New York,2255,21927
36081038100,Census Tract 381, Queens County, New York,7216,19101
36081039800,Census Tract 398, Queens County, New York,1675,38575
36081042700,Census Tract 427, Queens County, New York,4955,19045
36081044000,Census Tract 440, Queens County, New York,3980,24435
36081044602,Census Tract 446.02, Queens County, New York,4961,15524
36081045400,Census Tract 454, Queens County, New York,4779,24750
36047084600,Census Tract 846, Kings County, New York,2023,28875
36047090200,Census Tract 902, Kings County, New York,3309,23362
36047090600,Census Tract 906, Kings County, New York,3295,13735
36047016000,Census Tract 160, Kings County, New York,3965,32689
36047018000,Census Tract 180, Kings County, New York,3518,33800
36047020300,Census Tract 203, Kings County, New York,1826,63810
36047020500,Census Tract 205, Kings County, New York,3128,64354
36047021400,Census Tract 214, Kings County, New York,2187,19737
36047021700,Census Tract 217, Kings County, New York,3733,38184
36047024200,Census Tract 242, Kings County, New York,2868,23977
36047024400,Census Tract 244, Kings County, New York,3609,20048
36047026100,Census Tract 261, Kings County, New York,4497,33566
36047027700,Census Tract 277, Kings County, New York,4582,26532
36081005000,Census Tract 50, Queens County, New York,49,18802
36081009600,Census Tract 96, Queens County, New York,3522,29106
36081011100,Census Tract 111, Queens County, New York,3116,39244
36081011600,Census Tract 116, Queens County, New York,1980,28792
36081012100,Census Tract 121, Queens County, New York,2034,49418
